model,width,height,aspect_ratio,sharpness,mean_r,mean_g,mean_b,hist_0,hist_1,hist_2,hist_3,hist_4,hist_5,hist_6,hist_7,hist_8,hist_9,hist_10,hist_11,hist_12,hist_13,hist_14,hist_15,hist_16,hist_17,hist_18,hist_19,hist_20,hist_21,hist_22,hist_23,hist_24,hist_25,hist_26,hist_27,hist_28,hist_29,hist_30,hist_31,hist_32,hist_33,hist_34,hist_35,hist_36,hist_37,hist_38,hist_39,hist_40,hist_41,hist_42,hist_43,hist_44,hist_45,hist_46,hist_47
ak-12,2543,1248,2.0376602564102564,821.4854801521482,195.22930971898725,194.89562820764894,190.27898353448884,25224,375990,42818,40748,243370,17384,34984,32330,57832,59852,56412,60203,13686,4630,24321,2083880,22149,372960,29274,35079,49100,263135,34426,58679,64884,53755,58898,12954,7115,3531,603,2107122,29277,380456,47440,80780,135707,308096,30985,14495,19333,5966,2684,3120,2453,3801,1833,2107238
ak-47,900,332,2.710843373493976,810.7629518072289,229.19224564926373,224.31152275769745,221.68069277108432,3533,931,1965,2617,2469,2461,2811,3451,3892,8861,14228,9596,5390,5815,2294,228486,3721,1178,2238,2821,3873,6202,7306,5905,5296,7984,11446,7937,3304,801,377,228411,4058,1687,3993,6800,7108,5254,4646,3687,4142,6972,11983,7219,2099,389,402,228361
arctic-warfare-magnum,1998,810,2.466666666666667,326.612217155427,213.83792249039163,214.16338375412448,215.47378551390898,37513,70163,41760,33695,47246,41926,22131,18932,11734,11166,7872,4863,1621,996,1021,1265741,36462,70097,42548,34022,43473,42487,20434,19383,12886,9500,9676,6325,3093,1177,1045,1265772,29153,64156,45370,36133,43331,40573,20947,13406,13514,12711,10139,9754,7378,4231,1739,1265845
beretta-92,2130,1377,1.5468409586056644,180.5827808292505,192.96701715984602,192.56680679574907,191.29659871599483,70267,96786,87287,108802,173495,121671,98215,74163,55662,45696,37230,38245,35846,45723,69844,1774078,63203,101402,89386,126280,175517,117436,93786,69346,55331,44341,36221,38921,33111,45825,69913,1772991,66536,104008,102734,154214,173221,103080,81622,65420,52691,41223,34439,37150,30977,45668,70773,1769254
colt-1911,2220,1488,1.4919354838709677,131.07816008525117,187.42059721011333,187.42059721011333,187.42059721011333,13,115,3878,112569,271658,279100,214292,142265,95596,54276,55029,65398,44269,44643,537011,1383248,13,115,3878,112569,271658,279100,214292,142265,95596,54276,55029,65398,44269,44643,537011,1383248,13,115,3878,112569,271658,279100,214292,142265,95596,54276,55029,65398,44269,44643,537011,1383248
daewoo-k2,2000,654,3.058103975535168,276.91180581020836,187.25131804281347,185.99975917431192,185.0279885321101,22211,31843,49933,56932,46001,59745,25873,38175,45958,21840,22440,28495,25626,47633,147819,637476,20880,35855,55449,54422,60738,48383,22106,32193,53816,20440,23195,22757,30368,51211,165553,610634,12748,37847,44972,59360,61766,68847,26652,28456,62350,22152,20459,19385,32409,51430,176699,582468
desert-eagle,1777,1185,1.49957805907173,147.5867532474123,124.67459022816153,130.11503482140526,144.8281130906164,75671,89654,94563,93208,76148,94409,173851,220804,284088,314195,269282,189984,87741,28590,6918,6639,87179,90074,99262,81769,69744,92927,145398,183820,216886,264718,278338,248788,166554,56599,14056,9633,58090,97565,89867,86541,87988,109224,146048,148290,132118,133809,155169,192522,216194,221082,153454,77784
double-barrel-shotgun,4624,2136,2.1647940074906367,139.0317095046433,132.1379218140495,114.3991581740925,105.22147019539806,132051,508578,516069,572408,829908,787580,1111896,894241,615660,477117,389979,397262,553671,540637,890813,658994,455071,749820,785481,940452,1762175,904574,329449,190579,168577,324744,415613,448057,455415,538102,1029927,378828,789262,1216877,1156254,1396576,916591,369648,190668,137953,128707,250073,442308,536177,564670,516464,1184101,80535
dp-27-lmg,8448,5718,1.4774396642182581,144.14711591540518,189.86720112159105,180.90336754298627,167.84475253253945,8,373278,1200218,507707,371077,377044,356669,426292,1059944,1873516,3509222,5997361,9881018,20388865,1982694,751,78,688257,1054593,469026,376639,379211,361060,652219,1553029,2447152,5458328,6870405,19306333,8638040,51284,10,2636,1133213,882664,451155,409634,370065,621069,1562779,2557535,5128771,6044693,15712347,12695654,732209,1239,1
fn-p90,3072,1728,1.7777777777777777,113.92570137682108,167.3596728289569,168.06024603196133,172.98679304711612,36143,90791,322449,463419,526016,312189,177263,156074,126601,94363,89107,96504,92961,128242,201222,2395072,37369,89659,321372,456562,509259,304583,182062,145032,135794,108034,86450,99679,96603,130331,205387,2400240,21930,65158,242522,298456,441201,445277,261946,186301,130091,109563,102911,105619,113907,145310,212475,2425749
fn-scar,925,542,1.7066420664206643,363.80213690682126,128.16047870748977,130.26886805624812,129.6586835544031,14092,33795,27746,23064,81626,31908,33371,35760,31420,23650,14366,9314,9310,13469,101817,16642,20025,36786,28199,24184,24752,24845,87371,44759,29478,20838,12933,7762,5892,11093,106314,16119,34168,39961,28161,24408,25397,24114,29075,93698,27257,15673,8944,7079,6076,6739,24075,106525
glock,4032,2425,1.662680412371134,269.14995314382895,150.66915909834725,143.4589476967763,128.9185477008673,420445,566197,293639,401746,445363,502166,312216,217556,222219,257819,462460,1106661,3171746,1203243,147987,46137,473210,571030,286095,421621,487339,477995,274303,224071,245409,363788,835929,2127506,2656656,251935,53318,27395,665860,485509,371660,441098,561880,371043,241047,272453,410352,994664,2970010,1725892,188682,44056,22417,10977
glock-18c,892,484,1.8429752066115703,5054.867634251195,245.6714088500167,245.6714088500167,245.6714088500167,6231,1456,1244,1957,1249,1088,1933,1138,1071,1072,1131,1411,1158,1257,1375,406957,6231,1456,1244,1957,1249,1088,1933,1138,1071,1072,1131,1411,1158,1257,1375,406957,6231,1456,1244,1957,1249,1088,1933,1138,1071,1072,1131,1411,1158,1257,1375,406957
glock-19-9mm-luger-pistol,4032,3024,1.3333333333333333,861.4253426558296,115.52222948882485,111.58828061027651,104.55979560998782,928222,917343,523280,555828,562538,970782,1251944,1054771,1189652,941259,939077,814902,661561,293772,234552,353285,856863,1030579,555256,575671,604048,1201664,1135589,1232799,1046667,989068,941999,804887,511243,220614,234692,251129,831624,1168519,677888,598575,823264,1333177,1132351,1227416,1031602,999471,844787,640093,319166,210846,214598,139391
high-standard-22lr,1638,1053,1.5555555555555556,62.447216318649275,177.75840235526846,164.6701661744397,153.7509279261416,57,3469,13063,16833,19154,20796,35426,59664,100989,156996,200832,405332,325217,278493,85993,2500,168,8571,17926,22292,29003,41059,53599,67655,70030,211958,448213,341641,364692,46311,985,711,936,16311,34009,40789,53542,55367,45574,50413,194105,353941,328375,316615,121157,108940,4376,364
hk-g36c,629,252,2.496031746031746,2277.076551341257,203.6770951623893,203.54260352789765,203.31225553284378,399,843,1567,4609,7637,11410,18947,1049,1181,157,123,283,287,130,144,109742,394,853,1561,4634,7678,11495,19262,812,1067,141,137,249,239,99,143,109744,393,854,1616,4724,7921,11788,18992,977,493,137,144,242,242,100,143,109742
hk-ump45,1551,740,2.095945945945946,183.282305225885,213.03545750779793,214.71831338107933,214.88005384494747,354,2015,15118,32691,47768,40734,56999,58994,27688,12822,5898,2573,2025,1567,1895,838599,44,409,5245,27360,48312,36676,51045,69899,34699,22470,4448,2379,2164,1763,1773,839054,233,923,5649,24326,46020,40487,50652,71889,29363,23743,7211,2293,2068,2242,1854,838787
kar98k,2107,1000,2.107,765.2986989002504,226.6877717133365,218.07313621262458,209.54937873754153,20972,12123,10952,9473,8117,7174,7732,8669,10821,16458,21381,27527,42755,134440,926233,842173,25602,11982,11226,10290,10814,14650,23352,28161,31252,33948,39222,49432,76264,176782,914182,649841,35455,23774,31388,35300,33324,30806,28914,29911,36935,40772,38053,39801,48776,101530,906543,645718
kimber-45acp,1418,1884,0.7526539278131635,65.81990171782066,169.60965887482445,164.6274491748493,167.11846961570825,9,9272,76215,141483,203240,149155,61257,35850,27779,29151,71913,394649,528348,812728,129246,1217,46,10610,107650,144166,208628,138496,51400,30339,24109,28458,145348,474481,652941,632627,14536,7677,102,7319,76148,132653,146985,203942,74186,38127,29799,31600,136487,445781,595309,698250,52830,1994
