model,url,path
ak-12,https://upload.wikimedia.org/wikipedia/commons/c/c2/5%2C45mm_AK-12_6P70_assault_rifle_at_Military-technical_forum_ARMY-2016_03_noBG.png,data/images\ak-12.jpg
ak-47,https://upload.wikimedia.org/wikipedia/commons/f/f6/AK-47_assault_rifle.jpg,data/images\ak-47.jpg
arctic-warfare-magnum,https://upload.wikimedia.org/wikipedia/commons/0/0f/AWM-338-white.jpg,data/images\arctic-warfare-magnum.jpg
beretta-92,https://upload.wikimedia.org/wikipedia/commons/2/24/Beretta_92S_%28cropped%29.jpg,data/images\beretta-92.jpg
colt-1911,https://upload.wikimedia.org/wikipedia/commons/c/cf/Colt_M1911_Pistol_from_1912_Army_manual.png,data/images\colt-1911.jpg
daewoo-k2,https://upload.wikimedia.org/wikipedia/commons/5/59/Daewoo_K2_rifle_1.jpg,data/images\daewoo-k2.jpg
desert-eagle,https://upload.wikimedia.org/wikipedia/commons/8/81/2014-_Desert_Eagle_.50_Action_Express_Semi-Automatic_Pistol%2C_Prague%2C_Czech_Republic_%28_Ank_Kumar_%29_01.jpg,data/images\desert-eagle.jpg
double-barrel-shotgun,https://upload.wikimedia.org/wikipedia/commons/5/56/Nakhjir_2_Double_Barrel_Shotgun_1.jpg,data/images\double-barrel-shotgun.jpg
dp-27-lmg,https://upload.wikimedia.org/wikipedia/commons/1/19/111-SC-33696_-_NARA_-_55226539.jpg,data/images\dp-27-lmg.jpg
fn-p90,https://upload.wikimedia.org/wikipedia/commons/1/1d/FN-P90_2.jpg,data/images\fn-p90.jpg
fn-scar,https://upload.wikimedia.org/wikipedia/commons/c/cc/FN_SCAR_Mexican_Army.jpg,data/images\fn-scar.jpg
glock,https://upload.wikimedia.org/wikipedia/commons/1/15/1991_Glock_20_10mm.jpg,data/images\glock.jpg
glock-18c,https://upload.wikimedia.org/wikipedia/commons/5/5b/Evers_Glock_18C.PNG,data/images\glock-18c.jpg
glock-19-9mm-luger-pistol,https://upload.wikimedia.org/wikipedia/commons/3/3f/Glomdalsmuseet_Anno_%28Museum_Elverum_Norway_2025-03-26%29_H%C3%A6ren_Norwegian_army_German_British_American_weapons_equipment_uniform_after_1945_Sten_Bren_Mauser_Mortar_Phone_Luger_Radio_Artillery_computer_AG3_MG3_Anti-tank_Glock_Rangefinder.jpg,data/images\glock-19-9mm-luger-pistol.jpg
high-standard-22lr,https://upload.wikimedia.org/wikipedia/commons/6/61/.22_LR.jpg,data/images\high-standard-22lr.jpg
hk-g36c,https://upload.wikimedia.org/wikipedia/commons/c/c4/H%26K_G36C_standard_issue.jpg,data/images\hk-g36c.jpg
hk-ump45,https://upload.wikimedia.org/wikipedia/commons/d/d6/HKUMP45.JPG,data/images\hk-ump45.jpg
kar98k,https://upload.wikimedia.org/wikipedia/commons/c/c5/Kar_98K_-_AM.021488.jpg,data/images\kar98k.jpg
kimber-45acp,https://upload.wikimedia.org/wikipedia/commons/4/43/Nra-b3-targ-kimber-raptor.jpg,data/images\kimber-45acp.jpg
kriss-vector,https://upload.wikimedia.org/wikipedia/commons/2/23/Delinear_blow_back_Kriss_Vector_super_v_CC_BY-SA_4.0_by_Grasyl.svg,data/images\kriss-vector.jpg
m16,https://upload.wikimedia.org/wikipedia/commons/2/2b/Eagle_Nebula_from_ESO.jpg,data/images\m16.jpg
m24-sws,https://upload.wikimedia.org/wikipedia/commons/1/1e/IDF-M24-SWS-2018-Zachi-Evenor.jpg,data/images\m24-sws.jpg
m249-lmg,https://upload.wikimedia.org/wikipedia/commons/a/a7/M249_Light_Machine_Gun_mounted_at_Front_Seat_of_Special_Assault_Vehicle_20120211.jpg,data/images\m249-lmg.jpg
m4,https://upload.wikimedia.org/wikipedia/commons/f/f3/Messier_4_HST.jpg,data/images\m4.jpg
mg42-lmg,https://upload.wikimedia.org/wikipedia/commons/9/9f/BundeswehrMG3.jpg,data/images\mg42-lmg.jpg
mini-14,https://upload.wikimedia.org/wikipedia/commons/b/ba/D%C3%BClmen%2C_Kirchspiel%2C_BMW_Mini_--_2016_--_5065-71.jpg,data/images\mini-14.jpg
mk14-ebr,https://upload.wikimedia.org/wikipedia/commons/4/4f/MK14%2C_Mod_0_Enhanced_Battle_Rifle_%287414624728%29.jpg,data/images\mk14-ebr.jpg
mp-40-40-sw-pistol,https://upload.wikimedia.org/wikipedia/commons/e/e8/L%27Illustration_horticole%3B_journal_international_populaire_de_l%27horticulture_dans_toutes_ses_branches_%28IA_lillustrationhor31lema%29.pdf,data/images\mp-40-40-sw-pistol.jpg
mp5-smg,https://upload.wikimedia.org/wikipedia/commons/1/17/K7_submachine_gun_%28No_BG%29.png,data/images\mp5-smg.jpg
nagant-m1895,https://upload.wikimedia.org/wikipedia/commons/6/6f/Nagant_M1895_DoubleAction_noBG.jpg,data/images\nagant-m1895.jpg
ots-14-groza,https://upload.wikimedia.org/wikipedia/commons/f/f5/GrozaOC14.png,data/images\ots-14-groza.jpg
pp-19-bizon,https://upload.wikimedia.org/wikipedia/commons/e/e5/PP-19_Bizon_01.jpg,data/images\pp-19-bizon.jpg
pump-action-shotgun,https://upload.wikimedia.org/wikipedia/commons/b/b5/Bore_pump_action_gun.jpeg,data/images\pump-action-shotgun.jpg
qbu-88,https://upload.wikimedia.org/wikipedia/commons/f/fe/Abbreviation_meanings_of_Chinese_Q-Type_weapons_CC_BY-SA_4.0_by_Grasyl.png,data/images\qbu-88.jpg
